vehicle_id,depot_id,capacity,start_time,end_time,fixed_cost,variable_cost_per_distance,allowed_goods_types
0,24,100,420,1200,10000.0,1.0,"[3, 4]"
1,24,80,420,1200,8000.0,1.0,"[3, 4]"
2,24,100,420,1200,10000.0,1.0,"[1, 2, 3]"
3,24,150,420,1200,15000.0,1.0,"[2, 3, 4]"
4,15,150,420,1200,15000.0,1.0,"[1, 3]"
5,15,100,420,1200,10000.0,1.0,"[2, 3]"
6,15,100,420,1200,10000.0,1.0,"[1, 2]"
7,33,80,420,1200,8000.0,1.0,"[2, 3, 4]"
8,33,120,420,1200,12000.0,1.0,"[2, 4]"
9,33,100,420,1200,10000.0,1.0,"[2, 3, 4]"
10,33,100,420,1200,10000.0,1.0,"[2, 4]"
