id,addr,cluster,demand_delivery,demand_pickup,x,y,is_depot,tmp_oid,role,service_time,tw_open,tw_close
0,DEPOT.0,0,0,0,496767.0,4795050.0,True,,,0,,
1,DEPOT.1,0,0,0,499415.0,4786662.0,True,,,0,,
2,DEPOT.2,0,0,0,504476.0,4795786.0,True,,,0,,
3,DEPOT.3,0,0,0,500333.0,4797896.0,True,,,0,,
4,P.6,7,0,10,498167.0,4787117.0,False,6.0,P,8,435.0,855.0
5,D.7,1,5,0,500408.0,4793723.0,False,7.0,D,5,607.0,1131.0
6,P.18,7,0,15,500889.0,4788353.0,False,18.0,P,5,647.0,1067.0
7,P.19,3,0,5,497553.0,4794221.0,False,19.0,P,5,596.0,1016.0
8,D.17,1,5,0,500982.0,4794214.0,False,17.0,D,13,719.0,830.0
9,P.1,3,0,5,496882.0,4794721.0,False,1.0,P,7,361.0,781.0
10,D.12,1,10,0,499817.0,4793518.0,False,12.0,D,13,729.0,846.0
11,P.11,7,0,10,499084.0,4786766.0,False,11.0,P,10,480.0,900.0
12,P.22,7,0,15,500523.0,4787850.0,False,22.0,P,9,620.0,1133.0
13,P.8,1,0,5,500394.0,4794227.0,False,8.0,P,5,592.0,1047.0
14,D.18,5,15,0,500545.0,4797095.0,False,18.0,D,12,797.0,1177.0
15,P.14,5,0,10,500068.0,4796818.0,False,14.0,P,15,407.0,827.0
16,P.7,7,0,5,500293.0,4787645.0,False,7.0,P,9,497.0,1138.0
17,D.10,9,5,0,503846.0,4795755.0,False,10.0,D,8,642.0,1138.0
18,P.5,1,0,10,500731.0,4793130.0,False,5.0,P,14,418.0,838.0
19,P.0,3,0,10,497038.0,4794342.0,False,0.0,P,5,494.0,1039.0
20,P.10,5,0,5,501836.0,4796229.0,False,10.0,P,12,596.0,1016.0
21,P.13,3,0,5,497059.0,4794946.0,False,13.0,P,9,586.0,1115.0
22,P.17,9,0,5,504358.0,4795037.0,False,17.0,P,10,652.0,1072.0
23,D.4,3,15,0,496704.0,4795411.0,False,4.0,D,12,656.0,851.0
24,D.2,9,10,0,504483.0,4795356.0,False,2.0,D,14,666.0,1070.0
25,P.3,3,0,5,497425.0,4794772.0,False,3.0,P,13,657.0,1159.0
26,D.5,9,10,0,503669.0,4794849.0,False,5.0,D,15,488.0,896.0
27,P.20,7,0,10,499153.0,4787027.0,False,20.0,P,10,511.0,955.0
28,D.14,5,10,0,501098.0,4796398.0,False,14.0,D,14,444.0,864.0
29,D.20,3,10,0,497331.0,4794585.0,False,20.0,D,6,650.0,1091.0
30,D.11,7,10,0,497931.0,4787426.0,False,11.0,D,15,641.0,1061.0
31,P.4,9,0,15,504058.0,4795238.0,False,4.0,P,12,522.0,942.0
32,D.9,7,10,0,500345.0,4787131.0,False,9.0,D,6,689.0,1110.0
33,P.21,5,0,10,501164.0,4797910.0,False,21.0,P,10,525.0,1068.0
34,D.3,3,5,0,496478.0,4794738.0,False,3.0,D,6,685.0,1119.0
35,P.9,5,0,10,500928.0,4796790.0,False,9.0,P,12,516.0,1175.0
36,D.1,9,5,0,503693.0,4795481.0,False,1.0,D,11,494.0,914.0
37,D.6,1,10,0,500792.0,4793934.0,False,6.0,D,13,564.0,966.0
38,D.21,5,10,0,500013.0,4797383.0,False,21.0,D,11,565.0,1080.0
39,P.2,5,0,10,500723.0,4795954.0,False,2.0,P,13,590.0,1149.0
40,D.0,1,10,0,501039.0,4793705.0,False,0.0,D,12,714.0,1200.0
41,D.8,9,5,0,503906.0,4794468.0,False,8.0,D,15,655.0,1034.0
42,P.15,1,0,5,500241.0,4792956.0,False,15.0,P,12,562.0,991.0
43,P.12,7,0,10,501014.0,4787874.0,False,12.0,P,12,621.0,1041.0
44,D.19,5,5,0,501359.0,4797029.0,False,19.0,D,11,679.0,976.0
45,D.16,1,10,0,500136.0,4793842.0,False,16.0,D,11,660.0,1117.0
46,D.22,9,15,0,503436.0,4794572.0,False,22.0,D,13,751.0,832.0
47,D.15,1,5,0,500277.0,4793327.0,False,15.0,D,9,580.0,1140.0
48,P.16,9,0,10,503540.0,4795033.0,False,16.0,P,11,589.0,1125.0
49,D.13,3,5,0,496106.0,4794950.0,False,13.0,D,9,610.0,1145.0
