vehicle_id,depot_id,capacity,start_time,end_time,fixed_cost,variable_cost_per_distance,allowed_goods_types
0,16,150,420,1200,15000.0,1.0,"[2, 4]"
1,16,100,420,1200,10000.0,1.0,"[3, 4]"
2,16,100,420,1200,10000.0,1.0,"[2, 4]"
3,16,100,420,1200,10000.0,1.0,"[1, 2]"
4,38,120,420,1200,12000.0,1.0,"[2, 4]"
5,38,150,420,1200,15000.0,1.0,"[1, 2, 3]"
6,38,120,420,1200,12000.0,1.0,"[2, 3, 4]"
7,41,120,420,1200,12000.0,1.0,"[2, 3]"
8,41,80,420,1200,8000.0,1.0,"[1, 2]"
9,41,150,420,1200,15000.0,1.0,"[1, 3]"
