vehicle_id,depot_id,capacity,start_time,end_time,fixed_cost,variable_cost_per_distance,allowed_goods_types
0,27,120,420,1200,12000.0,1.0,"[1, 2, 3]"
1,27,120,420,1200,12000.0,1.0,"[1, 2, 3]"
2,27,120,420,1200,12000.0,1.0,"[3, 4]"
3,27,80,420,1200,8000.0,1.0,"[2, 4]"
4,73,100,420,1200,10000.0,1.0,"[2, 4]"
5,73,120,420,1200,12000.0,1.0,"[1, 2]"
6,73,120,420,1200,12000.0,1.0,"[1, 2, 3]"
7,73,80,420,1200,8000.0,1.0,"[2, 4]"
8,70,100,420,1200,10000.0,1.0,"[1, 2]"
9,70,120,420,1200,12000.0,1.0,"[1, 2]"
10,70,100,420,1200,10000.0,1.0,"[2, 3, 4]"
11,70,120,420,1200,12000.0,1.0,"[2, 3]"
12,54,120,420,1200,12000.0,1.0,"[3, 4]"
13,54,100,420,1200,10000.0,1.0,"[2, 4]"
14,54,80,420,1200,8000.0,1.0,"[1, 3]"
15,54,80,420,1200,8000.0,1.0,"[3, 4]"
