vehicle_id,depot_id,capacity,start_time,end_time,fixed_cost,variable_cost_per_distance
0,0,150,420,1200,15000.0,1.0
1,0,80,420,1200,8000.0,1.0
2,0,120,420,1200,12000.0,1.0
3,0,120,420,1200,12000.0,1.0
4,28,80,420,1200,8000.0,1.0
5,28,100,420,1200,10000.0,1.0
6,28,120,420,1200,12000.0,1.0
7,73,100,420,1200,10000.0,1.0
8,73,100,420,1200,10000.0,1.0
9,73,100,420,1200,10000.0,1.0
10,73,100,420,1200,10000.0,1.0
11,70,100,420,1200,10000.0,1.0
12,70,120,420,1200,12000.0,1.0
13,70,150,420,1200,15000.0,1.0
14,70,150,420,1200,15000.0,1.0
