id,addr,cluster,demand_delivery,demand_pickup,x,y,is_depot,tmp_oid,role,service_time,tw_open,tw_close
0,DEPOT.0,0,0,0,503540.0,4795033.0,True,,,0,0.0,1439.0
1,DEPOT.1,0,0,0,498167.0,4787117.0,True,,,0,0.0,1439.0
2,DEPOT.2,0,0,0,496106.0,4794950.0,True,,,0,0.0,1439.0
3,DEPOT.3,0,0,0,500333.0,4797896.0,True,,,0,0.0,1439.0
4,P.3,3,0,5,497425.0,4794772.0,False,3.0,P,11,539.0,987.0
5,D.20,7,5,0,499153.0,4787027.0,False,20.0,D,8,596.0,1016.0
6,D.12,1,5,0,499817.0,4793518.0,False,12.0,D,15,663.0,1117.0
7,P.8,1,0,5,500394.0,4794227.0,False,8.0,P,12,412.0,832.0
8,D.6,7,10,0,497931.0,4787426.0,False,6.0,D,9,747.0,1059.0
9,D.19,3,5,0,497553.0,4794221.0,False,19.0,D,11,741.0,996.0
10,P.21,5,0,5,500013.0,4797383.0,False,21.0,P,14,563.0,1031.0
11,D.1,9,20,0,503846.0,4795755.0,False,1.0,D,7,699.0,967.0
12,D.9,7,10,0,500345.0,4787131.0,False,9.0,D,11,698.0,820.0
13,P.14,5,0,15,500068.0,4796818.0,False,14.0,P,15,516.0,936.0
14,D.16,9,5,0,503693.0,4795481.0,False,16.0,D,15,445.0,794.0
15,P.19,5,0,5,501359.0,4797029.0,False,19.0,P,12,651.0,1080.0
16,D.5,9,10,0,504058.0,4795238.0,False,5.0,D,9,653.0,844.0
17,P.17,9,0,10,504483.0,4795356.0,False,17.0,P,8,654.0,1124.0
18,D.22,7,15,0,500523.0,4787850.0,False,22.0,D,12,656.0,1106.0
19,P.16,1,0,5,500136.0,4793842.0,False,16.0,P,12,368.0,788.0
20,P.12,7,0,5,501014.0,4787874.0,False,12.0,P,7,560.0,1123.0
21,P.15,1,0,5,500241.0,4792956.0,False,15.0,P,10,488.0,908.0
22,D.4,3,10,0,496478.0,4794738.0,False,4.0,D,9,825.0,915.0
23,D.11,7,10,0,499084.0,4786766.0,False,11.0,D,6,422.0,842.0
24,D.0,1,5,0,501039.0,4793705.0,False,0.0,D,12,517.0,918.0
25,P.0,3,0,5,497038.0,4794342.0,False,0.0,P,10,440.0,860.0
26,D.7,1,15,0,500408.0,4793723.0,False,7.0,D,6,530.0,942.0
27,P.18,5,0,10,500545.0,4797095.0,False,18.0,P,9,533.0,1068.0
28,D.18,7,10,0,500889.0,4788353.0,False,18.0,D,5,687.0,1040.0
29,D.15,1,5,0,500277.0,4793327.0,False,15.0,D,14,504.0,1010.0
30,D.14,5,15,0,501098.0,4796398.0,False,14.0,D,10,549.0,820.0
31,P.2,5,0,10,500723.0,4795954.0,False,2.0,P,13,387.0,807.0
32,P.10,9,0,15,503669.0,4794849.0,False,10.0,P,5,494.0,914.0
33,D.8,9,5,0,504358.0,4795037.0,False,8.0,D,15,560.0,980.0
34,P.4,9,0,10,503906.0,4794468.0,False,4.0,P,15,687.0,1107.0
35,P.9,5,0,10,500928.0,4796790.0,False,9.0,P,14,523.0,1047.0
36,D.21,5,5,0,501164.0,4797910.0,False,21.0,D,7,598.0,812.0
37,D.13,3,15,0,497059.0,4794946.0,False,13.0,D,11,606.0,827.0
38,P.7,7,0,15,500293.0,4787645.0,False,7.0,P,8,421.0,841.0
39,P.5,1,0,10,500731.0,4793130.0,False,5.0,P,13,575.0,995.0
40,D.3,3,5,0,496767.0,4795050.0,False,3.0,D,7,561.0,1072.0
41,P.20,3,0,5,497331.0,4794585.0,False,20.0,P,9,458.0,878.0
42,P.22,9,0,15,503436.0,4794572.0,False,22.0,P,7,527.0,951.0
43,D.17,1,10,0,500982.0,4794214.0,False,17.0,D,11,723.0,1139.0
44,P.1,3,0,20,496882.0,4794721.0,False,1.0,P,9,573.0,993.0
45,P.11,7,0,10,499415.0,4786662.0,False,11.0,P,13,394.0,814.0
46,P.13,3,0,15,496704.0,4795411.0,False,13.0,P,11,586.0,1006.0
47,D.2,9,10,0,504476.0,4795786.0,False,2.0,D,6,462.0,880.0
48,D.10,5,15,0,501836.0,4796229.0,False,10.0,D,8,537.0,910.0
49,P.6,1,0,10,500792.0,4793934.0,False,6.0,P,13,616.0,1036.0
