vehicle_id,depot_id,capacity,start_time,end_time,fixed_cost,variable_cost_per_distance,allowed_goods_types
0,9,100,420,1200,10000.0,1.0,"[2, 3, 4]"
1,9,120,420,1200,12000.0,1.0,"[3, 4]"
2,9,100,420,1200,10000.0,1.0,"[2, 3, 4]"
3,38,100,420,1200,10000.0,1.0,"[3, 4]"
4,38,100,420,1200,10000.0,1.0,"[1, 3]"
5,38,150,420,1200,15000.0,1.0,"[2, 4]"
6,38,100,420,1200,10000.0,1.0,"[2, 3, 4]"
7,34,120,420,1200,12000.0,1.0,"[1, 2]"
8,34,150,420,1200,15000.0,1.0,"[3, 4]"
9,34,80,420,1200,8000.0,1.0,"[3, 4]"
10,42,80,420,1200,8000.0,1.0,"[1, 3]"
11,42,100,420,1200,10000.0,1.0,"[1, 3]"
12,42,120,420,1200,12000.0,1.0,"[2, 3]"
13,42,80,420,1200,8000.0,1.0,"[1, 3]"
