order_id,node_id,order_type,quantity,goods
0,1,0,10,"[{""goods_type"": 2, ""weight"": 2}, {""goods_type"": 2, ""weight"": 5}, {""goods_type"": 4, ""weight"": 3}]"
1,1,1,5,"[{""goods_type"": 2, ""weight"": 5}]"
2,2,0,10,"[{""goods_type"": 4, ""weight"": 9}, {""goods_type"": 2, ""weight"": 1}]"
3,4,0,5,"[{""goods_type"": 2, ""weight"": 5}]"
4,5,0,10,"[{""goods_type"": 3, ""weight"": 3}, {""goods_type"": 2, ""weight"": 7}]"
5,5,1,5,"[{""goods_type"": 3, ""weight"": 1}, {""goods_type"": 1, ""weight"": 4}]"
6,6,0,10,"[{""goods_type"": 2, ""weight"": 10}]"
7,7,0,5,"[{""goods_type"": 3, ""weight"": 2}, {""goods_type"": 3, ""weight"": 1}, {""goods_type"": 1, ""weight"": 2}]"
8,7,1,3,"[{""goods_type"": 4, ""weight"": 3}]"
9,8,0,5,"[{""goods_type"": 4, ""weight"": 5}]"
10,9,0,3,"[{""goods_type"": 4, ""weight"": 1}, {""goods_type"": 2, ""weight"": 1}, {""goods_type"": 3, ""weight"": 1}]"
11,9,0,7,"[{""goods_type"": 3, ""weight"": 6}, {""goods_type"": 4, ""weight"": 1}]"
12,9,1,5,"[{""goods_type"": 2, ""weight"": 4}, {""goods_type"": 2, ""weight"": 1}]"
13,10,0,10,"[{""goods_type"": 2, ""weight"": 9}, {""goods_type"": 4, ""weight"": 1}]"
14,11,0,5,"[{""goods_type"": 2, ""weight"": 3}, {""goods_type"": 4, ""weight"": 2}]"
15,11,1,1,"[{""goods_type"": 4, ""weight"": 1}]"
16,11,1,2,"[{""goods_type"": 3, ""weight"": 1}, {""goods_type"": 3, ""weight"": 1}]"
17,12,0,3,"[{""goods_type"": 3, ""weight"": 3}]"
18,12,0,2,"[{""goods_type"": 3, ""weight"": 1}, {""goods_type"": 4, ""weight"": 1}]"
19,13,0,10,"[{""goods_type"": 4, ""weight"": 10}]"
20,13,1,3,"[{""goods_type"": 2, ""weight"": 2}, {""goods_type"": 3, ""weight"": 1}]"
