vehicle_id,depot_id,capacity,start_time,end_time,fixed_cost,variable_cost_per_distance,allowed_goods_types
0,3,150,420,1200,15000.0,1.0,"[1, 2]"
1,3,80,420,1200,8000.0,1.0,"[2, 4]"
2,3,80,420,1200,8000.0,1.0,"[2, 3]"
3,3,100,420,1200,10000.0,1.0,"[3, 4]"
4,73,100,420,1200,10000.0,1.0,"[3, 4]"
5,73,80,420,1200,8000.0,1.0,"[1, 3]"
6,73,120,420,1200,12000.0,1.0,"[1, 2]"
7,73,150,420,1200,15000.0,1.0,"[2, 4]"
8,68,100,420,1200,10000.0,1.0,"[2, 3]"
9,68,120,420,1200,12000.0,1.0,"[3, 4]"
10,68,150,420,1200,15000.0,1.0,"[2, 4]"
11,35,120,420,1200,12000.0,1.0,"[1, 2]"
12,35,100,420,1200,10000.0,1.0,"[3, 4]"
13,35,120,420,1200,12000.0,1.0,"[1, 2]"
