id,addr,cluster,x,y,is_depot,service_time,tw_open,tw_close
0,0,0,499090.0,4792870.0,False,9,502.0,922.0
1,1.1,1,500241.0,4792956.0,False,11,486.0,906.0
2,1.2,1,500731.0,4793130.0,False,14,697.0,1117.0
3,1.3,1,500277.0,4793327.0,False,8,666.0,1086.0
4,1.4,1,499817.0,4793518.0,False,9,618.0,1131.0
5,1.5,1,500136.0,4793842.0,False,13,442.0,862.0
6,2.1,2,499115.0,4795417.0,False,9,566.0,1057.0
7,2.2,2,498881.0,4795695.0,False,6,563.0,983.0
8,2.3,2,498673.0,4795376.0,False,9,488.0,908.0
9,2.4,2,498739.0,4795896.0,False,10,505.0,969.0
10,2.5,2,498526.0,4795774.0,False,14,487.0,942.0
11,3.1,3,497553.0,4794221.0,False,9,559.0,979.0
12,3.2,3,497425.0,4794772.0,False,12,374.0,794.0
13,3.3,3,497331.0,4794585.0,False,6,370.0,790.0
14,3.4,3,497038.0,4794342.0,False,13,398.0,818.0
15,3.5,3,497059.0,4794946.0,False,7,503.0,923.0
16,4.1,4,496661.0,4791462.0,False,5,580.0,1000.0
17,4.2,4,496209.0,4793224.0,False,5,490.0,1086.0
18,4.3,4,496473.0,4792856.0,False,11,663.0,1093.0
19,4.4,4,496257.0,4792579.0,False,6,689.0,1109.0
20,4.5,4,494399.0,4793788.0,False,11,454.0,874.0
21,5.1,5,501836.0,4796229.0,False,13,627.0,1047.0
22,5.2,5,501098.0,4796398.0,False,14,532.0,952.0
23,5.3,5,500723.0,4795954.0,False,14,519.0,939.0
24,5.4,5,501359.0,4797029.0,False,15,490.0,1030.0
25,5.5,5,500928.0,4796790.0,False,11,402.0,822.0
26,6.1,6,501721.0,4791088.0,False,8,399.0,819.0
27,6.2,6,502201.0,4791449.0,False,12,562.0,982.0
28,6.3,6,502459.0,4790936.0,False,8,519.0,939.0
29,6.4,6,502667.0,4792691.0,False,14,442.0,862.0
30,6.5,6,502946.0,4792171.0,False,15,367.0,787.0
31,7.1,7,500889.0,4788353.0,False,9,669.0,1089.0
32,7.2,7,501014.0,4787874.0,False,5,563.0,983.0
33,7.3,7,500523.0,4787850.0,False,10,544.0,964.0
34,7.4,7,500293.0,4787645.0,False,11,526.0,1075.0
35,7.5,7,500345.0,4787131.0,False,15,426.0,846.0
36,8.1,8,506360.0,4790438.0,False,12,574.0,994.0
37,8.2,8,506490.0,4789488.0,False,8,487.0,976.0
38,8.3,8,506515.0,4788877.0,True,0,0.0,1439.0
39,8.4,8,505611.0,4790028.0,False,15,552.0,981.0
40,8.5,8,505654.0,4788900.0,False,10,514.0,934.0
41,9.1,9,504476.0,4795786.0,True,0,0.0,1439.0
42,9.2,9,504483.0,4795356.0,False,9,475.0,895.0
43,9.3,9,504358.0,4795037.0,False,5,516.0,936.0
44,9.4,9,503906.0,4794468.0,False,7,388.0,808.0
45,9.5,9,504058.0,4795238.0,False,14,405.0,825.0
46,10.1,10,499663.0,4790455.0,False,10,440.0,860.0
47,10.2,10,499588.0,4790334.0,False,11,486.0,906.0
48,10.3,10,499229.0,4790323.0,True,0,0.0,1439.0
49,10.4,10,498971.0,4790157.0,False,5,445.0,865.0
50,10.5,10,498973.0,4790007.0,False,13,519.0,1005.0
