vehicle_id,depot_id,capacity,start_time,end_time,fixed_cost,variable_cost_per_distance,allowed_goods_types
0,48,100,420,1200,10000.0,1.0,"[2, 3, 4]"
1,48,100,420,1200,10000.0,1.0,"[3, 4]"
2,48,150,420,1200,15000.0,1.0,"[2, 3, 4]"
3,41,80,420,1200,8000.0,1.0,"[2, 3]"
4,41,150,420,1200,15000.0,1.0,"[2, 3, 4]"
5,41,100,420,1200,10000.0,1.0,"[3, 4]"
6,38,120,420,1200,12000.0,1.0,"[3, 4]"
7,38,80,420,1200,8000.0,1.0,"[2, 4]"
8,38,100,420,1200,10000.0,1.0,"[1, 2]"
9,38,150,420,1200,15000.0,1.0,"[1, 3]"
