vehicle_id,depot_id,capacity,start_time,end_time,fixed_cost,variable_cost_per_distance,allowed_goods_types
0,19,100,420,1200,10000.0,1.0,"[2, 4]"
1,19,120,420,1200,12000.0,1.0,"[1, 2, 3]"
2,19,150,420,1200,15000.0,1.0,"[1, 3]"
3,19,80,420,1200,8000.0,1.0,"[2, 3, 4]"
4,73,100,420,1200,10000.0,1.0,"[2, 3]"
5,73,150,420,1200,15000.0,1.0,"[1, 2, 3]"
6,73,100,420,1200,10000.0,1.0,"[2, 3]"
7,73,80,420,1200,8000.0,1.0,"[1, 2]"
8,69,80,420,1200,8000.0,1.0,"[2, 4]"
9,69,100,420,1200,10000.0,1.0,"[1, 3]"
10,69,100,420,1200,10000.0,1.0,"[1, 2]"
11,69,100,420,1200,10000.0,1.0,"[2, 3]"
