order_id,node_id,order_type,quantity,goods
0,1,0,10,"[{""goods_type"": 1, ""weight"": 8}, {""goods_type"": 3, ""weight"": 2}]"
1,1,1,5,"[{""goods_type"": 1, ""weight"": 1}, {""goods_type"": 2, ""weight"": 3}, {""goods_type"": 1, ""weight"": 1}]"
2,2,0,7,"[{""goods_type"": 4, ""weight"": 1}, {""goods_type"": 3, ""weight"": 3}, {""goods_type"": 4, ""weight"": 3}]"
3,2,0,3,"[{""goods_type"": 3, ""weight"": 2}, {""goods_type"": 1, ""weight"": 1}]"
4,3,0,5,"[{""goods_type"": 4, ""weight"": 1}, {""goods_type"": 4, ""weight"": 3}, {""goods_type"": 4, ""weight"": 1}]"
5,3,1,3,"[{""goods_type"": 4, ""weight"": 2}, {""goods_type"": 3, ""weight"": 1}]"
6,4,0,1,"[{""goods_type"": 2, ""weight"": 1}]"
7,4,0,2,"[{""goods_type"": 4, ""weight"": 2}]"
8,4,0,2,"[{""goods_type"": 2, ""weight"": 1}, {""goods_type"": 1, ""weight"": 1}]"
9,5,0,10,"[{""goods_type"": 2, ""weight"": 3}, {""goods_type"": 3, ""weight"": 1}, {""goods_type"": 2, ""weight"": 6}]"
10,5,1,5,"[{""goods_type"": 4, ""weight"": 5}]"
11,6,0,10,"[{""goods_type"": 1, ""weight"": 5}, {""goods_type"": 3, ""weight"": 4}, {""goods_type"": 2, ""weight"": 1}]"
12,7,0,5,"[{""goods_type"": 1, ""weight"": 1}, {""goods_type"": 2, ""weight"": 1}, {""goods_type"": 3, ""weight"": 3}]"
13,7,1,2,"[{""goods_type"": 1, ""weight"": 1}, {""goods_type"": 3, ""weight"": 1}]"
14,7,1,1,"[{""goods_type"": 4, ""weight"": 1}]"
15,8,0,1,"[{""goods_type"": 3, ""weight"": 1}]"
16,8,0,4,"[{""goods_type"": 2, ""weight"": 1}, {""goods_type"": 4, ""weight"": 1}, {""goods_type"": 2, ""weight"": 2}]"
17,9,0,10,"[{""goods_type"": 3, ""weight"": 1}, {""goods_type"": 2, ""weight"": 9}]"
18,9,1,5,"[{""goods_type"": 4, ""weight"": 5}]"
19,10,0,1,"[{""goods_type"": 2, ""weight"": 1}]"
20,10,0,7,"[{""goods_type"": 1, ""weight"": 1}, {""goods_type"": 3, ""weight"": 1}, {""goods_type"": 2, ""weight"": 5}]"
21,10,0,2,"[{""goods_type"": 3, ""weight"": 1}, {""goods_type"": 2, ""weight"": 1}]"
22,12,0,5,"[{""goods_type"": 1, ""weight"": 5}]"
23,13,0,10,"[{""goods_type"": 1, ""weight"": 1}, {""goods_type"": 1, ""weight"": 8}, {""goods_type"": 1, ""weight"": 1}]"
24,13,1,5,"[{""goods_type"": 2, ""weight"": 3}, {""goods_type"": 4, ""weight"": 2}]"
25,14,0,10,"[{""goods_type"": 4, ""weight"": 7}, {""goods_type"": 2, ""weight"": 3}]"
26,15,0,1,"[{""goods_type"": 4, ""weight"": 1}]"
27,15,0,4,"[{""goods_type"": 3, ""weight"": 4}]"
28,15,1,3,"[{""goods_type"": 3, ""weight"": 3}]"
