order_id,pickup_node_id,delivery_node_id,quantity
0,52,34,10
1,63,68,5
2,59,30,5
3,86,27,10
4,31,62,5
5,7,97,10
6,8,96,10
7,51,71,5
8,4,95,10
9,98,77,5
10,38,48,10
11,19,73,10
12,49,39,10
13,93,80,5
14,45,85,10
15,54,60,10
16,32,50,5
17,94,41,20
18,55,99,10
19,83,40,10
20,75,22,5
21,84,87,10
22,82,89,15
23,5,76,10
24,37,88,5
25,44,15,5
26,53,69,5
27,47,24,20
28,79,90,5
29,28,20,20
30,12,29,5
31,78,14,10
32,67,26,10
33,72,23,5
34,56,11,5
35,46,6,15
36,70,10,15
37,33,74,15
38,9,61,10
39,58,81,5
40,21,13,10
41,91,42,5
42,43,16,10
43,66,65,5
44,64,35,10
45,25,18,10
46,92,17,5
47,57,36,5
