order_id,pickup_node_id,delivery_node_id,quantity
0,23,92,5
1,31,53,10
2,77,81,5
3,35,67,5
4,51,80,5
5,17,28,15
6,68,71,5
7,20,58,5
8,93,21,5
9,27,13,10
10,74,84,5
11,42,60,5
12,52,90,10
13,95,16,20
14,36,10,10
15,65,15,5
16,61,97,20
17,94,33,5
18,5,86,15
19,50,37,15
20,4,57,10
21,64,46,15
22,24,45,5
23,62,8,5
24,43,69,5
25,34,63,15
26,78,39,10
27,22,41,5
28,7,91,5
29,72,47,15
30,56,70,10
31,29,9,15
32,73,98,10
33,48,99,5
34,18,66,10
35,6,82,5
36,25,54,5
37,76,38,10
38,88,11,5
39,12,44,5
40,96,87,15
41,32,40,15
42,49,89,5
43,83,19,10
44,30,14,10
45,59,55,10
46,75,26,10
47,85,79,10
