id,addr,cluster,demand_delivery,demand_pickup,x,y,is_depot,tmp_oid,role,service_time,tw_open,tw_close
0,DEPOT.0,0,0,0,497038.0,4794342.0,True,,,0,0.0,1439.0
1,DEPOT.1,0,0,0,506515.0,4788877.0,True,,,0,0.0,1439.0
2,DEPOT.2,0,0,0,499084.0,4786766.0,True,,,0,0.0,1439.0
3,DEPOT.3,0,0,0,504476.0,4795786.0,True,,,0,0.0,1439.0
4,P.20,6,0,10,502459.0,4790936.0,False,20.0,P,11,642.0,1138.0
5,P.18,8,0,15,505089.0,4790292.0,False,18.0,P,8,512.0,977.0
6,P.35,4,0,5,495318.0,4793183.0,False,35.0,P,15,496.0,916.0
7,P.28,9,0,5,504483.0,4795356.0,False,28.0,P,12,484.0,1097.0
8,D.23,8,5,0,505127.0,4789903.0,False,23.0,D,9,808.0,944.0
9,D.31,6,15,0,504151.0,4791353.0,False,31.0,D,11,584.0,1004.0
10,D.14,5,10,0,500013.0,4797383.0,False,14.0,D,14,554.0,1086.0
11,D.38,1,5,0,500731.0,4793130.0,False,38.0,D,7,743.0,1013.0
12,P.39,7,0,5,497931.0,4787426.0,False,39.0,P,11,531.0,951.0
13,D.9,2,10,0,499115.0,4795417.0,False,9.0,D,15,589.0,931.0
14,D.44,9,10,0,503693.0,4795481.0,False,44.0,D,15,551.0,1094.0
15,D.15,9,5,0,504358.0,4795037.0,False,15.0,D,12,597.0,939.0
16,D.13,8,20,0,505654.0,4788900.0,False,13.0,D,9,501.0,875.0
17,P.5,3,0,15,496882.0,4794721.0,False,5.0,P,8,512.0,1012.0
18,P.34,4,0,10,496209.0,4793224.0,False,34.0,P,12,527.0,959.0
19,D.43,6,10,0,502946.0,4792171.0,False,43.0,D,12,591.0,892.0
20,P.7,10,0,5,498971.0,4790157.0,False,7.0,P,7,541.0,1097.0
21,D.8,5,5,0,501359.0,4797029.0,False,8.0,D,10,553.0,831.0
22,P.27,2,0,5,498175.0,4796298.0,False,27.0,P,9,516.0,1047.0
23,P.0,10,0,5,498475.0,4789858.0,False,0.0,P,6,578.0,1074.0
24,P.22,4,0,5,494831.0,4793468.0,False,22.0,P,12,472.0,892.0
25,P.36,7,0,5,500523.0,4787850.0,False,36.0,P,10,460.0,880.0
26,D.46,5,10,0,500545.0,4797095.0,False,46.0,D,6,813.0,892.0
27,P.9,8,0,10,505611.0,4790028.0,False,9.0,P,9,440.0,860.0
28,D.5,9,15,0,503436.0,4794572.0,False,5.0,D,5,629.0,966.0
29,P.31,1,0,15,500136.0,4793842.0,False,31.0,P,14,472.0,892.0
30,P.44,10,0,10,498127.0,4790145.0,False,44.0,P,10,361.0,781.0
31,P.1,10,0,10,498973.0,4790007.0,False,1.0,P,13,489.0,909.0
32,P.41,3,0,15,497553.0,4794221.0,False,41.0,P,5,579.0,999.0
33,D.17,5,5,0,500068.0,4796818.0,False,17.0,D,15,668.0,833.0
34,P.25,4,0,15,495617.0,4792600.0,False,25.0,P,15,610.0,1122.0
35,P.3,3,0,5,497331.0,4794585.0,False,3.0,P,14,480.0,1003.0
36,P.14,1,0,10,501039.0,4793705.0,False,14.0,P,7,484.0,1004.0
37,D.19,3,15,0,496478.0,4794738.0,False,19.0,D,11,751.0,905.0
