vehicle_id,depot_id,capacity,start_time,end_time,fixed_cost,variable_cost_per_distance,allowed_goods_types
0,13,100,420,1200,10000.0,1.0,"[2, 3, 4]"
1,13,100,420,1200,10000.0,1.0,"[1, 3]"
2,13,80,420,1200,8000.0,1.0,"[2, 3, 4]"
3,13,120,420,1200,12000.0,1.0,"[3, 4]"
4,59,80,420,1200,8000.0,1.0,"[1, 3]"
5,59,80,420,1200,8000.0,1.0,"[2, 3, 4]"
6,59,100,420,1200,10000.0,1.0,"[1, 3]"
7,55,100,420,1200,10000.0,1.0,"[2, 4]"
8,55,120,420,1200,12000.0,1.0,"[1, 2, 3]"
9,55,80,420,1200,8000.0,1.0,"[2, 3]"
10,66,80,420,1200,8000.0,1.0,"[2, 4]"
11,66,80,420,1200,8000.0,1.0,"[1, 2]"
12,66,120,420,1200,12000.0,1.0,"[2, 3]"
13,66,150,420,1200,15000.0,1.0,"[2, 3, 4]"
