id,addr,cluster,demand_delivery,demand_pickup,x,y,is_depot,tmp_oid,role,service_time,tw_open,tw_close
0,DEPOT.0,0,0,0,498973.0,4790007.0,True,,,0,0.0,1439.0
1,DEPOT.1,0,0,0,501164.0,4797910.0,True,,,0,0.0,1439.0
2,DEPOT.2,0,0,0,506515.0,4788877.0,True,,,0,0.0,1439.0
3,DEPOT.3,0,0,0,494399.0,4793788.0,True,,,0,0.0,1439.0
4,D.34,5,10,0,500928.0,4796790.0,False,34.0,D,11,642.0,1138.0
5,P.25,10,0,10,499229.0,4790323.0,False,25.0,P,8,512.0,977.0
6,P.38,4,0,5,494831.0,4793468.0,False,38.0,P,15,496.0,916.0
7,P.0,6,0,5,501721.0,4791088.0,False,0.0,P,12,484.0,1097.0
8,D.24,5,15,0,501098.0,4796398.0,False,24.0,D,9,566.0,944.0
9,P.22,9,0,5,503693.0,4795481.0,False,22.0,P,11,584.0,1004.0
10,D.18,7,5,0,499415.0,4786662.0,False,18.0,D,14,665.0,1086.0
11,D.41,2,10,0,499115.0,4795417.0,False,41.0,D,7,738.0,1013.0
12,D.30,8,10,0,504608.0,4790038.0,False,30.0,D,11,753.0,951.0
13,P.31,9,0,5,503906.0,4794468.0,False,31.0,P,15,511.0,931.0
14,P.23,1,0,5,500408.0,4793723.0,False,23.0,P,15,551.0,1094.0
15,P.35,2,0,5,498516.0,4796163.0,False,35.0,P,12,491.0,939.0
16,P.9,8,0,10,506360.0,4790438.0,False,9.0,P,9,455.0,875.0
17,D.6,6,10,0,502459.0,4790936.0,False,6.0,D,8,559.0,1012.0
18,P.8,6,0,5,503929.0,4790770.0,False,8.0,P,12,527.0,959.0
19,D.16,2,10,0,498175.0,4796298.0,False,16.0,D,12,704.0,892.0
20,D.25,3,10,0,497331.0,4794585.0,False,25.0,D,7,597.0,1097.0
21,D.7,1,5,0,500277.0,4793327.0,False,7.0,D,10,602.0,831.0
22,D.13,8,10,0,505034.0,4789160.0,False,13.0,D,9,675.0,1047.0
23,P.26,2,0,10,498739.0,4795896.0,False,26.0,P,6,578.0,1074.0
24,D.1,4,20,0,495318.0,4793183.0,False,1.0,D,12,629.0,892.0
25,D.47,5,5,0,500723.0,4795954.0,False,47.0,D,10,647.0,880.0
26,P.14,10,0,20,498602.0,4790280.0,False,14.0,P,6,472.0,892.0
27,D.39,1,15,0,499817.0,4793518.0,False,39.0,D,9,706.0,860.0
28,D.45,5,5,0,501359.0,4797029.0,False,45.0,D,5,672.0,966.0
29,D.15,7,15,0,500889.0,4788353.0,False,15.0,D,14,585.0,892.0
30,P.43,8,0,10,505611.0,4790028.0,False,43.0,P,10,361.0,781.0
31,P.29,7,0,5,498167.0,4787117.0,False,29.0,P,13,489.0,909.0
32,P.19,4,0,15,494886.0,4792830.0,False,19.0,P,5,579.0,999.0
33,P.20,8,0,10,504431.0,4789573.0,False,20.0,P,15,413.0,833.0
34,D.22,2,5,0,498881.0,4795695.0,False,22.0,D,15,675.0,1122.0
35,P.42,10,0,10,498475.0,4789858.0,False,42.0,P,14,480.0,1003.0
36,P.24,3,0,15,496882.0,4794721.0,False,24.0,P,7,484.0,1004.0
37,P.46,9,0,5,504483.0,4795356.0,False,46.0,P,11,485.0,905.0
38,D.4,10,10,0,498127.0,4790145.0,False,4.0,D,8,639.0,909.0
39,D.3,8,10,0,505089.0,4790292.0,False,3.0,D,13,612.0,832.0
40,D.21,2,20,0,498526.0,4795774.0,False,21.0,D,7,614.0,951.0
41,D.0,10,5,0,499663.0,4790455.0,False,0.0,D,9,577.0,997.0
42,P.10,8,0,10,506490.0,4789488.0,False,10.0,P,7,519.0,939.0
43,P.28,1,0,10,501039.0,4793705.0,False,28.0,P,11,494.0,977.0
44,D.8,6,5,0,504151.0,4791353.0,False,8.0,D,9,569.0,1026.0
45,D.44,10,10,0,499588.0,4790334.0,False,44.0,D,13,571.0,1103.0
46,P.21,1,0,20,500136.0,4793842.0,False,21.0,P,11,562.0,982.0
47,D.26,3,10,0,496106.0,4794950.0,False,26.0,D,6,630.0,963.0
48,P.11,7,0,15,500345.0,4787131.0,False,11.0,P,8,482.0,902.0
49,D.40,6,10,0,503998.0,4791707.0,False,40.0,D,13,699.0,1034.0
50,D.35,10,5,0,498971.0,4790157.0,False,35.0,D,6,603.0,1073.0
51,D.38,5,5,0,500333.0,4797896.0,False,38.0,D,14,639.0,1059.0
52,P.33,6,0,5,503350.0,4791977.0,False,33.0,P,13,684.0,1104.0
53,P.6,5,0,10,501836.0,4796229.0,False,6.0,P,14,457.0,877.0
54,P.45,4,0,5,496209.0,4793224.0,False,45.0,P,9,557.0,977.0
55,P.40,10,0,10,498564.0,4790018.0,False,40.0,P,6,599.0,1019.0
56,P.7,7,0,5,500523.0,4787850.0,False,7.0,P,8,503.0,923.0
57,P.34,1,0,10,500982.0,4794214.0,False,34.0,P,11,456.0,876.0
58,P.5,3,0,5,496704.0,4795411.0,False,5.0,P,12,560.0,980.0
59,D.17,3,15,0,496767.0,4795050.0,False,17.0,D,7,616.0,903.0
60,D.5,7,5,0,500293.0,4787645.0,False,5.0,D,5,714.0,966.0
61,P.16,4,0,10,495617.0,4792600.0,False,16.0,P,8,622.0,1105.0
62,P.39,2,0,15,498015.0,4795931.0,False,39.0,P,6,650.0,1128.0
63,P.13,4,0,10,496473.0,4792856.0,False,13.0,P,12,508.0,1038.0
64,D.2,8,15,0,505654.0,4788900.0,False,2.0,D,8,536.0,927.0
65,D.9,9,10,0,504058.0,4795238.0,False,9.0,D,6,552.0,1031.0
66,P.30,10,0,10,498346.0,4790124.0,False,30.0,P,10,639.0,1125.0
67,D.19,5,15,0,500068.0,4796818.0,False,19.0,D,10,692.0,926.0
68,P.1,5,0,20,500545.0,4797095.0,False,1.0,P,14,507.0,927.0
69,D.28,9,10,0,503846.0,4795755.0,False,28.0,D,8,565.0,1131.0
70,D.23,1,5,0,500241.0,4792956.0,False,23.0,D,10,579.0,978.0
71,P.18,6,0,5,502667.0,4792691.0,False,18.0,P,6,545.0,1087.0
72,P.37,2,0,15,498272.0,4795868.0,False,37.0,P,14,487.0,907.0
73,D.11,7,15,0,499084.0,4786766.0,False,11.0,D,6,511.0,818.0
74,P.17,1,0,15,500394.0,4794227.0,False,17.0,P,14,541.0,1117.0
75,D.31,3,5,0,497059.0,4794946.0,False,31.0,D,8,664.0,1139.0
76,D.46,7,5,0,499153.0,4787027.0,False,46.0,D,12,660.0,908.0
77,P.4,9,0,10,503669.0,4794849.0,False,4.0,P,11,507.0,1046.0
78,D.27,3,15,0,497553.0,4794221.0,False,27.0,D,13,507.0,930.0
79,D.12,6,10,0,502946.0,4792171.0,False,12.0,D,12,587.0,1077.0
80,P.3,5,0,10,500013.0,4797383.0,False,3.0,P,9,458.0,878.0
81,P.36,4,0,10,495477.0,4792337.0,False,36.0,P,6,563.0,1042.0
82,P.2,8,0,15,505127.0,4789903.0,False,2.0,P,9,509.0,1031.0
83,D.42,3,10,0,497038.0,4794342.0,False,42.0,D,12,572.0,923.0
84,D.10,9,10,0,504358.0,4795037.0,False,10.0,D,14,625.0,1125.0
85,D.43,2,10,0,498673.0,4795376.0,False,43.0,D,13,516.0,891.0
86,P.32,9,0,5,503540.0,4795033.0,False,32.0,P,13,419.0,839.0
87,D.36,6,10,0,502201.0,4791449.0,False,36.0,D,5,682.0,781.0
88,D.32,3,5,0,496478.0,4794738.0,False,32.0,D,13,663.0,1083.0
89,D.14,9,20,0,504476.0,4795786.0,False,14.0,D,11,613.0,1033.0
90,P.12,1,0,10,500792.0,4793934.0,False,12.0,P,13,499.0,919.0
91,P.27,1,0,15,500731.0,4793130.0,False,27.0,P,12,396.0,816.0
92,D.33,4,5,0,496257.0,4792579.0,False,33.0,D,5,815.0,939.0
93,D.37,2,15,0,498130.0,4795490.0,False,37.0,D,12,507.0,788.0
94,P.41,7,0,10,497931.0,4787426.0,False,41.0,P,12,592.0,1012.0
95,P.15,9,0,15,503436.0,4794572.0,False,15.0,P,15,458.0,878.0
96,P.47,7,0,5,501014.0,4787874.0,False,47.0,P,7,506.0,926.0
97,D.20,6,10,0,503197.0,4791554.0,False,20.0,D,5,663.0,1083.0
98,D.29,4,5,0,496661.0,4791462.0,False,29.0,D,12,578.0,987.0
99,P.44,3,0,10,497425.0,4794772.0,False,44.0,P,7,482.0,910.0
