order_id,pickup_node_id,delivery_node_id,quantity
0,7,41,5
1,68,24,20
2,82,64,15
3,80,39,10
4,77,38,10
5,58,60,5
6,53,17,10
7,56,21,5
8,18,44,5
9,16,65,10
10,42,84,10
11,48,73,15
12,90,79,10
13,63,22,10
14,26,89,20
15,95,29,15
16,61,19,10
17,74,59,15
18,71,10,5
19,32,67,15
20,33,97,10
21,46,40,20
22,9,34,5
23,14,70,5
24,36,8,15
25,5,20,10
26,23,47,10
27,91,78,15
28,43,69,10
29,31,98,5
30,66,12,10
31,13,75,5
32,86,88,5
33,52,92,5
34,57,4,10
35,15,50,5
36,81,87,10
37,72,93,15
38,6,51,5
39,62,27,15
40,55,49,10
41,94,11,10
42,35,83,10
43,30,85,10
44,99,45,10
45,54,28,5
46,37,76,5
47,96,25,5
