order_id,node_id,order_type,quantity,goods
0,1,0,10,"[{""goods_type"": 3, ""weight"": 4}, {""goods_type"": 2, ""weight"": 6}]"
1,1,1,5,"[{""goods_type"": 2, ""weight"": 2}, {""goods_type"": 4, ""weight"": 2}, {""goods_type"": 2, ""weight"": 1}]"
2,2,0,3,"[{""goods_type"": 3, ""weight"": 3}]"
3,2,0,3,"[{""goods_type"": 3, ""weight"": 1}, {""goods_type"": 4, ""weight"": 1}, {""goods_type"": 2, ""weight"": 1}]"
4,2,0,4,"[{""goods_type"": 2, ""weight"": 4}]"
5,3,0,5,"[{""goods_type"": 2, ""weight"": 1}, {""goods_type"": 1, ""weight"": 1}, {""goods_type"": 3, ""weight"": 3}]"
6,3,1,3,"[{""goods_type"": 2, ""weight"": 1}, {""goods_type"": 4, ""weight"": 1}, {""goods_type"": 2, ""weight"": 1}]"
7,4,0,2,"[{""goods_type"": 3, ""weight"": 1}, {""goods_type"": 4, ""weight"": 1}]"
8,4,0,3,"[{""goods_type"": 1, ""weight"": 1}, {""goods_type"": 2, ""weight"": 1}, {""goods_type"": 1, ""weight"": 1}]"
9,5,0,10,"[{""goods_type"": 3, ""weight"": 10}]"
10,5,1,5,"[{""goods_type"": 1, ""weight"": 5}]"
11,6,0,10,"[{""goods_type"": 3, ""weight"": 3}, {""goods_type"": 4, ""weight"": 6}, {""goods_type"": 4, ""weight"": 1}]"
12,7,0,5,"[{""goods_type"": 1, ""weight"": 5}]"
13,7,1,3,"[{""goods_type"": 2, ""weight"": 1}, {""goods_type"": 4, ""weight"": 1}, {""goods_type"": 3, ""weight"": 1}]"
14,8,0,2,"[{""goods_type"": 4, ""weight"": 1}, {""goods_type"": 3, ""weight"": 1}]"
15,8,0,3,"[{""goods_type"": 2, ""weight"": 2}, {""goods_type"": 3, ""weight"": 1}]"
16,9,0,5,"[{""goods_type"": 1, ""weight"": 5}]"
17,9,1,1,"[{""goods_type"": 2, ""weight"": 1}]"
18,9,1,2,"[{""goods_type"": 2, ""weight"": 1}, {""goods_type"": 2, ""weight"": 1}]"
19,10,0,1,"[{""goods_type"": 3, ""weight"": 1}]"
20,10,0,2,"[{""goods_type"": 1, ""weight"": 2}]"
21,10,0,2,"[{""goods_type"": 3, ""weight"": 2}]"
22,11,0,10,"[{""goods_type"": 3, ""weight"": 10}]"
23,11,1,5,"[{""goods_type"": 2, ""weight"": 5}]"
24,12,0,4,"[{""goods_type"": 4, ""weight"": 1}, {""goods_type"": 2, ""weight"": 1}, {""goods_type"": 3, ""weight"": 2}]"
25,12,0,6,"[{""goods_type"": 3, ""weight"": 6}]"
26,13,0,5,"[{""goods_type"": 1, ""weight"": 1}, {""goods_type"": 1, ""weight"": 3}, {""goods_type"": 2, ""weight"": 1}]"
27,13,1,3,"[{""goods_type"": 4, ""weight"": 1}, {""goods_type"": 2, ""weight"": 1}, {""goods_type"": 2, ""weight"": 1}]"
28,14,0,4,"[{""goods_type"": 2, ""weight"": 1}, {""goods_type"": 4, ""weight"": 3}]"
29,14,0,1,"[{""goods_type"": 4, ""weight"": 1}]"
30,15,0,10,"[{""goods_type"": 3, ""weight"": 6}, {""goods_type"": 2, ""weight"": 3}, {""goods_type"": 2, ""weight"": 1}]"
