vehicle_id,depot_id,capacity,start_time,end_time,fixed_cost,variable_cost_per_distance,allowed_goods_types
0,67,120,420,1200,12000.0,1.0,"[3, 4]"
1,67,120,420,1200,12000.0,1.0,"[2, 3]"
2,67,120,420,1200,12000.0,1.0,"[2, 4]"
3,29,150,420,1200,15000.0,1.0,"[1, 2]"
4,29,80,420,1200,8000.0,1.0,"[2, 3, 4]"
5,29,100,420,1200,10000.0,1.0,"[3, 4]"
6,53,80,420,1200,8000.0,1.0,"[2, 3, 4]"
7,53,100,420,1200,10000.0,1.0,"[3, 4]"
8,53,80,420,1200,8000.0,1.0,"[2, 4]"
9,59,120,420,1200,12000.0,1.0,"[2, 3, 4]"
10,59,100,420,1200,10000.0,1.0,"[1, 2]"
11,59,120,420,1200,12000.0,1.0,"[3, 4]"
