order_id,node_id,order_type,quantity,goods
0,1,0,10,"[{""goods_type"": 2, ""weight"": 6}, {""goods_type"": 4, ""weight"": 1}, {""goods_type"": 2, ""weight"": 3}]"
1,1,1,5,"[{""goods_type"": 1, ""weight"": 2}, {""goods_type"": 2, ""weight"": 1}, {""goods_type"": 1, ""weight"": 2}]"
2,3,0,5,"[{""goods_type"": 4, ""weight"": 5}]"
3,3,1,3,"[{""goods_type"": 1, ""weight"": 2}, {""goods_type"": 1, ""weight"": 1}]"
4,4,0,5,"[{""goods_type"": 3, ""weight"": 2}, {""goods_type"": 4, ""weight"": 1}, {""goods_type"": 2, ""weight"": 2}]"
5,5,0,10,"[{""goods_type"": 3, ""weight"": 1}, {""goods_type"": 2, ""weight"": 8}, {""goods_type"": 1, ""weight"": 1}]"
6,5,1,5,"[{""goods_type"": 2, ""weight"": 5}]"
7,6,0,5,"[{""goods_type"": 4, ""weight"": 1}, {""goods_type"": 2, ""weight"": 3}, {""goods_type"": 3, ""weight"": 1}]"
8,6,1,1,"[{""goods_type"": 4, ""weight"": 1}]"
9,6,1,2,"[{""goods_type"": 3, ""weight"": 2}]"
10,7,0,1,"[{""goods_type"": 1, ""weight"": 1}]"
11,7,0,4,"[{""goods_type"": 2, ""weight"": 1}, {""goods_type"": 1, ""weight"": 2}, {""goods_type"": 1, ""weight"": 1}]"
12,8,0,10,"[{""goods_type"": 3, ""weight"": 10}]"
13,8,1,5,"[{""goods_type"": 1, ""weight"": 3}, {""goods_type"": 3, ""weight"": 2}]"
14,9,0,1,"[{""goods_type"": 3, ""weight"": 1}]"
15,9,0,6,"[{""goods_type"": 1, ""weight"": 5}, {""goods_type"": 3, ""weight"": 1}]"
16,9,0,3,"[{""goods_type"": 2, ""weight"": 1}, {""goods_type"": 4, ""weight"": 2}]"
17,10,0,5,"[{""goods_type"": 4, ""weight"": 3}, {""goods_type"": 4, ""weight"": 1}, {""goods_type"": 4, ""weight"": 1}]"
18,10,1,3,"[{""goods_type"": 3, ""weight"": 3}]"
19,11,0,10,"[{""goods_type"": 4, ""weight"": 10}]"
20,11,1,5,"[{""goods_type"": 1, ""weight"": 1}, {""goods_type"": 1, ""weight"": 4}]"
21,12,0,10,"[{""goods_type"": 2, ""weight"": 1}, {""goods_type"": 1, ""weight"": 1}, {""goods_type"": 3, ""weight"": 8}]"
22,13,0,5,"[{""goods_type"": 3, ""weight"": 3}, {""goods_type"": 4, ""weight"": 1}, {""goods_type"": 2, ""weight"": 1}]"
23,13,1,3,"[{""goods_type"": 3, ""weight"": 3}]"
24,14,0,5,"[{""goods_type"": 4, ""weight"": 2}, {""goods_type"": 2, ""weight"": 3}]"
25,15,0,10,"[{""goods_type"": 2, ""weight"": 2}, {""goods_type"": 3, ""weight"": 8}]"
26,15,1,5,"[{""goods_type"": 2, ""weight"": 5}]"
27,16,0,5,"[{""goods_type"": 2, ""weight"": 4}, {""goods_type"": 4, ""weight"": 1}]"
28,16,1,3,"[{""goods_type"": 4, ""weight"": 2}, {""goods_type"": 2, ""weight"": 1}]"
29,17,0,1,"[{""goods_type"": 4, ""weight"": 1}]"
30,17,0,4,"[{""goods_type"": 4, ""weight"": 1}, {""goods_type"": 4, ""weight"": 3}]"
31,18,0,10,"[{""goods_type"": 2, ""weight"": 5}, {""goods_type"": 2, ""weight"": 4}, {""goods_type"": 3, ""weight"": 1}]"
32,18,1,5,"[{""goods_type"": 3, ""weight"": 5}]"
33,19,0,10,"[{""goods_type"": 2, ""weight"": 6}, {""goods_type"": 1, ""weight"": 3}, {""goods_type"": 3, ""weight"": 1}]"
34,21,0,10,"[{""goods_type"": 2, ""weight"": 9}, {""goods_type"": 3, ""weight"": 1}]"
35,21,1,1,"[{""goods_type"": 3, ""weight"": 1}]"
36,21,1,4,"[{""goods_type"": 4, ""weight"": 1}, {""goods_type"": 3, ""weight"": 1}, {""goods_type"": 3, ""weight"": 2}]"
37,22,0,10,"[{""goods_type"": 1, ""weight"": 10}]"
38,23,0,5,"[{""goods_type"": 1, ""weight"": 5}]"
39,23,1,3,"[{""goods_type"": 3, ""weight"": 1}, {""goods_type"": 2, ""weight"": 1}, {""goods_type"": 3, ""weight"": 1}]"
40,24,0,5,"[{""goods_type"": 2, ""weight"": 4}, {""goods_type"": 4, ""weight"": 1}]"
41,25,0,10,"[{""goods_type"": 3, ""weight"": 7}, {""goods_type"": 2, ""weight"": 2}, {""goods_type"": 2, ""weight"": 1}]"
42,25,1,5,"[{""goods_type"": 1, ""weight"": 5}]"
43,26,0,5,"[{""goods_type"": 1, ""weight"": 3}, {""goods_type"": 2, ""weight"": 2}]"
44,26,1,3,"[{""goods_type"": 2, ""weight"": 1}, {""goods_type"": 1, ""weight"": 1}, {""goods_type"": 1, ""weight"": 1}]"
45,27,0,3,"[{""goods_type"": 1, ""weight"": 1}, {""goods_type"": 3, ""weight"": 2}]"
46,27,0,2,"[{""goods_type"": 4, ""weight"": 2}]"
47,28,0,10,"[{""goods_type"": 2, ""weight"": 10}]"
48,28,1,5,"[{""goods_type"": 4, ""weight"": 2}, {""goods_type"": 3, ""weight"": 2}, {""goods_type"": 3, ""weight"": 1}]"
49,29,0,6,"[{""goods_type"": 4, ""weight"": 6}]"
50,29,0,1,"[{""goods_type"": 4, ""weight"": 1}]"
51,29,0,3,"[{""goods_type"": 2, ""weight"": 3}]"
52,30,0,5,"[{""goods_type"": 3, ""weight"": 2}, {""goods_type"": 2, ""weight"": 3}]"
53,30,1,3,"[{""goods_type"": 2, ""weight"": 2}, {""goods_type"": 2, ""weight"": 1}]"
54,31,0,10,"[{""goods_type"": 4, ""weight"": 3}, {""goods_type"": 3, ""weight"": 3}, {""goods_type"": 4, ""weight"": 4}]"
55,31,1,5,"[{""goods_type"": 1, ""weight"": 2}, {""goods_type"": 1, ""weight"": 2}, {""goods_type"": 2, ""weight"": 1}]"
56,32,0,1,"[{""goods_type"": 1, ""weight"": 1}]"
57,32,0,2,"[{""goods_type"": 1, ""weight"": 1}, {""goods_type"": 1, ""weight"": 1}]"
58,32,0,7,"[{""goods_type"": 2, ""weight"": 1}, {""goods_type"": 1, ""weight"": 1}, {""goods_type"": 1, ""weight"": 5}]"
59,33,0,5,"[{""goods_type"": 4, ""weight"": 3}, {""goods_type"": 3, ""weight"": 1}, {""goods_type"": 2, ""weight"": 1}]"
60,33,1,3,"[{""goods_type"": 3, ""weight"": 1}, {""goods_type"": 1, ""weight"": 1}, {""goods_type"": 1, ""weight"": 1}]"
61,34,0,2,"[{""goods_type"": 3, ""weight"": 2}]"
62,34,0,3,"[{""goods_type"": 2, ""weight"": 1}, {""goods_type"": 1, ""weight"": 2}]"
63,35,0,10,"[{""goods_type"": 2, ""weight"": 10}]"
64,35,1,5,"[{""goods_type"": 1, ""weight"": 3}, {""goods_type"": 3, ""weight"": 1}, {""goods_type"": 1, ""weight"": 1}]"
65,36,0,5,"[{""goods_type"": 1, ""weight"": 4}, {""goods_type"": 2, ""weight"": 1}]"
66,36,1,3,"[{""goods_type"": 3, ""weight"": 3}]"
