vehicle_id,depot_id,capacity,start_time,end_time,fixed_cost,variable_cost_per_distance,allowed_goods_types
0,2,100,420,1200,10000.0,1.0,"[1, 3]"
1,2,100,420,1200,10000.0,1.0,"[2, 3]"
2,2,100,420,1200,10000.0,1.0,"[1, 2]"
3,2,120,420,1200,12000.0,1.0,"[2, 3]"
4,38,120,420,1200,12000.0,1.0,"[2, 3, 4]"
5,38,120,420,1200,12000.0,1.0,"[2, 4]"
6,38,150,420,1200,15000.0,1.0,"[3, 4]"
7,38,100,420,1200,10000.0,1.0,"[2, 3, 4]"
8,20,80,420,1200,8000.0,1.0,"[2, 3]"
9,20,80,420,1200,8000.0,1.0,"[3, 4]"
10,20,100,420,1200,10000.0,1.0,"[2, 4]"
