vehicle_id,depot_id,capacity,start_time,end_time,fixed_cost,variable_cost_per_distance,allowed_goods_types
0,7,120,420,1200,12000.0,1.0,"[2, 3]"
1,7,150,420,1200,15000.0,1.0,"[2, 3, 4]"
2,7,120,420,1200,12000.0,1.0,"[1, 3]"
3,73,120,420,1200,12000.0,1.0,"[1, 3]"
4,73,120,420,1200,12000.0,1.0,"[1, 2, 3]"
5,73,150,420,1200,15000.0,1.0,"[1, 3]"
6,68,100,420,1200,10000.0,1.0,"[2, 4]"
7,68,150,420,1200,15000.0,1.0,"[3, 4]"
8,68,100,420,1200,10000.0,1.0,"[1, 3]"
9,35,120,420,1200,12000.0,1.0,"[3, 4]"
10,35,80,420,1200,8000.0,1.0,"[1, 3]"
11,35,80,420,1200,8000.0,1.0,"[1, 2, 3]"
