vehicle_id,depot_id,capacity,start_time,end_time,fixed_cost,variable_cost_per_distance,allowed_goods_types
0,49,150,420,1200,15000.0,1.0,"[1, 3]"
1,49,150,420,1200,15000.0,1.0,"[3, 4]"
2,49,80,420,1200,8000.0,1.0,"[3, 4]"
3,49,80,420,1200,8000.0,1.0,"[1, 3]"
4,21,120,420,1200,12000.0,1.0,"[2, 3]"
5,21,100,420,1200,10000.0,1.0,"[2, 4]"
6,21,150,420,1200,15000.0,1.0,"[2, 3, 4]"
7,37,120,420,1200,12000.0,1.0,"[1, 2, 3]"
8,37,120,420,1200,12000.0,1.0,"[1, 2]"
9,37,120,420,1200,12000.0,1.0,"[2, 3, 4]"
10,15,100,420,1200,10000.0,1.0,"[1, 2]"
11,15,120,420,1200,12000.0,1.0,"[2, 4]"
12,15,80,420,1200,8000.0,1.0,"[1, 3]"
