order_id,node_id,order_type,quantity,goods
0,1,0,9,"[{""goods_type"": 1, ""weight"": 6}, {""goods_type"": 1, ""weight"": 3}]"
1,1,0,1,"[{""goods_type"": 1, ""weight"": 1}]"
2,2,0,5,"[{""goods_type"": 3, ""weight"": 5}]"
3,2,1,3,"[{""goods_type"": 1, ""weight"": 1}, {""goods_type"": 2, ""weight"": 1}, {""goods_type"": 1, ""weight"": 1}]"
4,3,0,1,"[{""goods_type"": 4, ""weight"": 1}]"
5,3,0,4,"[{""goods_type"": 3, ""weight"": 1}, {""goods_type"": 3, ""weight"": 3}]"
6,4,0,10,"[{""goods_type"": 1, ""weight"": 1}, {""goods_type"": 2, ""weight"": 5}, {""goods_type"": 2, ""weight"": 4}]"
7,4,1,5,"[{""goods_type"": 3, ""weight"": 5}]"
8,5,0,10,"[{""goods_type"": 2, ""weight"": 6}, {""goods_type"": 2, ""weight"": 3}, {""goods_type"": 2, ""weight"": 1}]"
9,6,0,5,"[{""goods_type"": 4, ""weight"": 5}]"
10,7,0,10,"[{""goods_type"": 4, ""weight"": 2}, {""goods_type"": 4, ""weight"": 8}]"
11,7,1,5,"[{""goods_type"": 4, ""weight"": 3}, {""goods_type"": 3, ""weight"": 2}]"
12,8,0,6,"[{""goods_type"": 1, ""weight"": 4}, {""goods_type"": 2, ""weight"": 2}]"
13,8,0,4,"[{""goods_type"": 1, ""weight"": 1}, {""goods_type"": 3, ""weight"": 3}]"
14,9,0,5,"[{""goods_type"": 2, ""weight"": 5}]"
15,9,1,3,"[{""goods_type"": 1, ""weight"": 1}, {""goods_type"": 1, ""weight"": 1}, {""goods_type"": 2, ""weight"": 1}]"
16,10,0,5,"[{""goods_type"": 3, ""weight"": 3}, {""goods_type"": 3, ""weight"": 1}, {""goods_type"": 1, ""weight"": 1}]"
17,11,0,3,"[{""goods_type"": 2, ""weight"": 1}, {""goods_type"": 2, ""weight"": 1}, {""goods_type"": 1, ""weight"": 1}]"
18,11,0,7,"[{""goods_type"": 2, ""weight"": 6}, {""goods_type"": 4, ""weight"": 1}]"
19,12,0,5,"[{""goods_type"": 4, ""weight"": 5}]"
20,12,1,3,"[{""goods_type"": 4, ""weight"": 1}, {""goods_type"": 4, ""weight"": 1}, {""goods_type"": 3, ""weight"": 1}]"
21,13,0,2,"[{""goods_type"": 4, ""weight"": 2}]"
22,13,0,3,"[{""goods_type"": 4, ""weight"": 1}, {""goods_type"": 2, ""weight"": 2}]"
23,14,0,10,"[{""goods_type"": 2, ""weight"": 7}, {""goods_type"": 4, ""weight"": 3}]"
24,14,1,1,"[{""goods_type"": 1, ""weight"": 1}]"
25,14,1,4,"[{""goods_type"": 1, ""weight"": 1}, {""goods_type"": 3, ""weight"": 1}, {""goods_type"": 2, ""weight"": 2}]"
26,16,0,5,"[{""goods_type"": 1, ""weight"": 2}, {""goods_type"": 2, ""weight"": 1}, {""goods_type"": 2, ""weight"": 2}]"
27,17,0,10,"[{""goods_type"": 3, ""weight"": 5}, {""goods_type"": 1, ""weight"": 4}, {""goods_type"": 1, ""weight"": 1}]"
