order_id,node_id,order_type,quantity,goods
0,1,0,5,"[{""goods_type"": 1, ""weight"": 5}]"
1,1,1,3,"[{""goods_type"": 2, ""weight"": 2}, {""goods_type"": 3, ""weight"": 1}]"
2,2,0,3,"[{""goods_type"": 4, ""weight"": 3}]"
3,2,0,1,"[{""goods_type"": 1, ""weight"": 1}]"
4,2,0,1,"[{""goods_type"": 3, ""weight"": 1}]"
5,3,0,10,"[{""goods_type"": 1, ""weight"": 8}, {""goods_type"": 2, ""weight"": 2}]"
6,3,1,5,"[{""goods_type"": 2, ""weight"": 3}, {""goods_type"": 3, ""weight"": 2}]"
7,4,0,6,"[{""goods_type"": 1, ""weight"": 6}]"
8,4,0,2,"[{""goods_type"": 4, ""weight"": 1}, {""goods_type"": 2, ""weight"": 1}]"
9,4,0,2,"[{""goods_type"": 3, ""weight"": 1}, {""goods_type"": 3, ""weight"": 1}]"
10,5,0,5,"[{""goods_type"": 3, ""weight"": 3}, {""goods_type"": 2, ""weight"": 2}]"
11,5,1,2,"[{""goods_type"": 3, ""weight"": 2}]"
12,5,1,1,"[{""goods_type"": 4, ""weight"": 1}]"
13,6,0,2,"[{""goods_type"": 1, ""weight"": 1}, {""goods_type"": 1, ""weight"": 1}]"
14,6,0,3,"[{""goods_type"": 2, ""weight"": 3}]"
15,7,0,10,"[{""goods_type"": 2, ""weight"": 4}, {""goods_type"": 4, ""weight"": 2}, {""goods_type"": 3, ""weight"": 4}]"
16,7,1,5,"[{""goods_type"": 3, ""weight"": 2}, {""goods_type"": 2, ""weight"": 1}, {""goods_type"": 3, ""weight"": 2}]"
17,8,0,5,"[{""goods_type"": 1, ""weight"": 5}]"
18,8,0,5,"[{""goods_type"": 4, ""weight"": 3}, {""goods_type"": 4, ""weight"": 1}, {""goods_type"": 3, ""weight"": 1}]"
19,9,0,5,"[{""goods_type"": 2, ""weight"": 1}, {""goods_type"": 4, ""weight"": 3}, {""goods_type"": 3, ""weight"": 1}]"
